Date,Ticker,Open,High,Low,Close,Volume
,,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD
2023-01-14,SHIB-USD,,,,,587763520
2023-01-15,SHIB-USD,,,,,400585139
2023-01-16,SHIB-USD,,,,,405517494
2023-01-17,SHIB-USD,,,,,250210750
2023-01-18,SHIB-USD,,,,,1460356847
2023-01-19,SHIB-USD,,,,,400204465
2023-01-20,SHIB-USD,,,,,387155910
2023-01-21,SHIB-USD,,,,,498671144
2023-01-22,SHIB-USD,,,,,379150200
2023-01-23,SHIB-USD,,,,,263047877
2023-01-24,SHIB-USD,,,,,275464907
2023-01-25,SHIB-USD,,,,,289308795
2023-01-26,SHIB-USD,,,,,224253546
2023-01-27,SHIB-USD,,,,,200955714
2023-01-28,SHIB-USD,,,,,320151728
2023-01-29,SHIB-USD,,,,,225732341
2023-01-30,SHIB-USD,,,,,300495992
2023-01-31,SHIB-USD,,,,,306240450
2023-02-01,SHIB-USD,,,,,300740434
2023-02-02,SHIB-USD,,,,,547280634
2023-02-03,SHIB-USD,,,,,444629769
2023-02-04,SHIB-USD,,,,,1728233566
2023-02-05,SHIB-USD,,,,,963577448
2023-02-06,SHIB-USD,,,,,583628395
2023-02-07,SHIB-USD,,,,,491430776
2023-02-08,SHIB-USD,,,,,377501863
2023-02-09,SHIB-USD,,,,,504958773
2023-02-10,SHIB-USD,,,,,496921255
2023-02-11,SHIB-USD,,,,,322458630
2023-02-12,SHIB-USD,,,,,342923413
2023-02-13,SHIB-USD,,,,,352766094
2023-02-14,SHIB-USD,,,,,320847282
2023-02-15,SHIB-USD,,,,,445480035
2023-02-16,SHIB-USD,,,,,592035511
2023-02-17,SHIB-USD,,,,,351891009
2023-02-18,SHIB-USD,,,,,241875734
2023-02-19,SHIB-USD,,,,,469758008
2023-02-20,SHIB-USD,,,,,327213805
2023-02-21,SHIB-USD,,,,,344708123
2023-02-22,SHIB-USD,,,,,281815699
2023-02-23,SHIB-USD,,,,,427737260
2023-02-24,SHIB-USD,,,,,289053507
2023-02-25,SHIB-USD,,,,,201956713
2023-02-26,SHIB-USD,,,,,211029859
2023-02-27,SHIB-USD,,,,,198295872
2023-02-28,SHIB-USD,,,,,167806416
2023-03-01,SHIB-USD,,,,,160464888
2023-03-02,SHIB-USD,,,,,200047918
2023-03-03,SHIB-USD,,,,,278913476
2023-03-04,SHIB-USD,,,,,158258659
2023-03-05,SHIB-USD,,,,,129312076
2023-03-06,SHIB-USD,,,,,145395069
2023-03-07,SHIB-USD,,,,,234316370
2023-03-08,SHIB-USD,,,,,412101203
2023-03-09,SHIB-USD,,,,,403438209
2023-03-10,SHIB-USD,,,,,388815185
2023-03-11,SHIB-USD,,,,,269478872
2023-03-12,SHIB-USD,,,,,234753565
2023-03-13,SHIB-USD,,,,,415429998
2023-03-14,SHIB-USD,,,,,506680613
2023-03-15,SHIB-USD,,,,,393550124
2023-03-16,SHIB-USD,,,,,247405898
2023-03-17,SHIB-USD,,,,,293202507
2023-03-18,SHIB-USD,,,,,339199096
2023-03-19,SHIB-USD,,,,,239000769
2023-03-20,SHIB-USD,,,,,287671250
2023-03-21,SHIB-USD,,,,,324462055
2023-03-22,SHIB-USD,,,,,343049882
2023-03-23,SHIB-USD,,,,,213909769
2023-03-24,SHIB-USD,,,,,200122400
2023-03-25,SHIB-USD,,,,,138048874
2023-03-26,SHIB-USD,,,,,124786850
2023-03-27,SHIB-USD,,,,,273074663
2023-03-28,SHIB-USD,,,,,148367923
2023-03-29,SHIB-USD,,,,,204105010
2023-03-30,SHIB-USD,,,,,188694559
2023-03-31,SHIB-USD,,,,,174101732
2023-04-01,SHIB-USD,,,,,369171835
2023-04-02,SHIB-USD,,,,,254661991
